feature,coefficient,absolute_coefficient
weight_class_Open Weight,2.8024043634415516,2.8024043634415516
weight_class_Women's Strawweight,-0.4895247951826561,0.4895247951826561
weight_class_Women's Bantamweight,-0.40963820590469663,0.40963820590469663
weight_class_Women's Flyweight,-0.38911455188183613,0.38911455188183613
weight_class_Bantamweight,-0.34553237736218045,0.34553237736218045
weight_class_Flyweight,-0.3269741346150009,0.3269741346150009
age_diff,-0.3255140905190346,0.3255140905190346
weight_class_Featherweight,-0.3165799992990964,0.3165799992990964
weight_class_Heavyweight,0.2637962258897357,0.2637962258897357
elo_diff,0.2617409366806994,0.2617409366806994
prior_wins_diff,-0.20440138576037814,0.20440138576037814
weight_class_Women's Featherweight,-0.12627040604409911,0.12627040604409911
weight_class_Catch Weight,-0.10176139435896235,0.10176139435896235
prior_fights_diff,-0.09517564645570556,0.09517564645570556
wins_last_3_diff,0.08329987694618061,0.08329987694618061
reach_diff,0.07967398121236433,0.07967398121236433
prior_losses_diff,0.07720097148587991,0.07720097148587991
win_pct_last_3_diff,-0.0745049269083962,0.0745049269083962
weight_class_Super Heavyweight,0.0724207564193782,0.0724207564193782
weight_class_Welterweight,-0.056931934404462196,0.056931934404462196
win_pct_last_5_diff,0.05193804533382991,0.05193804533382991
weight_class_Light Heavyweight,0.0458870806402323,0.0458870806402323
wins_last_5_diff,0.03149317087132937,0.03149317087132937
days_since_last_fight_diff,-0.026371893678390417,0.026371893678390417
prior_win_pct_diff,-0.02538012925875081,0.02538012925875081
height_diff,-0.02069355409430445,0.02069355409430445
weight_class_Middleweight,-0.010248229842635797,0.010248229842635797
weight_class_Lightweight,0.0022286393342806124,0.0022286393342806124
