date,red_fighter,blue_fighter,total_minutes,red_kd,red_sig_str_landed,red_sig_str_attempted,red_td_landed,red_td_attempted,red_sub_att,red_ctrl_seconds,blue_kd,blue_sig_str_landed,blue_sig_str_attempted,blue_td_landed,blue_td_attempted,blue_sub_att,blue_ctrl_seconds
2026-05-16,Arnold Allen,Melquizael Costa,25.0,1.0,98.0,152.0,7.0,7.0,0.0,568.0,0.0,100.0,254.0,0.0,4.0,0.0,105.0
2026-05-16,Dooho Choi,Daniel Santos,9.483,1.0,72.0,138.0,0.0,0.0,0.0,11.0,0.0,72.0,182.0,0.0,6.0,0.0,54.0
2026-05-16,Malcolm Wellmaker,Juan Diaz,9.133,0.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,5.0,8.0,1.0,228.0
2026-05-16,Modestas Bukauskas,Christian Edwards,15.0,0.0,36.0,80.0,0.0,0.0,0.0,135.0,0.0,36.0,71.0,0.0,4.0,0.0,262.0
2026-05-16,Timmy Cuamba,Benardo Sopaj,7.417,0.0,29.0,80.0,0.0,0.0,0.0,11.0,1.0,37.0,56.0,1.0,3.0,2.0,114.0
2026-05-16,Nikolay Veretennikov,Khaos Williams,3.517,0.0,13.0,25.0,0.0,0.0,0.0,0.0,1.0,21.0,56.0,0.0,0.0,0.0,54.0
2026-05-16,Tuco Tokkos,Ivan Erslan,15.0,0.0,54.0,123.0,0.0,6.0,1.0,69.0,0.0,37.0,66.0,2.0,3.0,0.0,511.0
2026-05-16,Tommy Gantt,Artur Minev,7.85,0.0,28.0,38.0,6.0,17.0,0.0,315.0,0.0,8.0,13.0,0.0,1.0,0.0,53.0
2026-05-16,Ketlen Vieira,Jacqueline Cavalcanti,15.0,0.0,30.0,92.0,1.0,4.0,0.0,282.0,0.0,53.0,110.0,0.0,0.0,0.0,0.0
2026-05-16,Cody Brundage,Andre Petroski,5.733,1.0,43.0,60.0,0.0,0.0,0.0,34.0,0.0,8.0,17.0,1.0,1.0,0.0,116.0
2026-05-16,Alice Ardelean,Polyana Viana,9.6,0.0,46.0,94.0,1.0,1.0,1.0,245.0,0.0,34.0,75.0,0.0,0.0,0.0,13.0
2026-05-16,Daniel Barez,Luis Gurule,15.0,0.0,113.0,246.0,1.0,3.0,0.0,48.0,0.0,149.0,299.0,1.0,5.0,1.0,146.0
2026-05-16,Shauna Bannon,Nicolle Caliari,13.133,0.0,29.0,49.0,0.0,1.0,0.0,110.0,0.0,20.0,38.0,4.0,9.0,1.0,558.0
