model,bucket,n_predictions,avg_predicted_prob,actual_win_rate,gap
raw,0.0-0.1,0,,,
raw,0.1-0.2,4,0.18189051703017559,0.25,-0.06810948296982441
raw,0.2-0.3,12,0.2672316279201754,0.25,0.017231627920175407
raw,0.3-0.4,57,0.3539624675722735,0.2631578947368421,0.09080457283543142
raw,0.4-0.5,127,0.4559140176938107,0.3228346456692913,0.13307937202451936
raw,0.5-0.6,204,0.555112125905123,0.47549019607843135,0.0796219298266917
raw,0.6-0.7,300,0.6510425281333945,0.5933333333333334,0.05770919480006109
raw,0.7-0.8,236,0.7457520271443779,0.673728813559322,0.07202321358505592
raw,0.8-0.9,87,0.8338329668456343,0.8620689655172413,-0.028235998671606977
raw,0.9-1.0,5,0.9392056147288768,1.0,-0.06079438527112324
platt,0.0-0.1,1,0.08986445631355555,0.0,0.08986445631355555
platt,0.1-0.2,14,0.1624166585366873,0.2857142857142857,-0.1232976271775984
platt,0.2-0.3,56,0.2535670247398762,0.25,0.00356702473987619
platt,0.3-0.4,124,0.356048547854185,0.3225806451612903,0.03346790269289468
platt,0.4-0.5,163,0.45417525030810596,0.4723926380368098,-0.01821738772870385
platt,0.5-0.6,242,0.5526656295805251,0.5454545454545454,0.007211084125979705
platt,0.6-0.7,221,0.6480317342711057,0.6470588235294118,0.000972910741693922
platt,0.7-0.8,151,0.7426516018434293,0.7218543046357616,0.020797297207667653
platt,0.8-0.9,55,0.82799281221399,0.9090909090909091,-0.08109809687691905
platt,0.9-1.0,5,0.9386966401313763,1.0,-0.061303359868623675
