feature,coefficient,absolute_coefficient
elo_diff,0.41467247414441577,0.41467247414441577
height_diff,-0.3694281234650783,0.3694281234650783
win_pct_last_3_diff,0.22467116069565937,0.22467116069565937
age_diff,0.21283629004327628,0.21283629004327628
weight_class_Welterweight,-0.16828565654990782,0.16828565654990782
weight_class_Middleweight,0.1341612345825168,0.1341612345825168
wins_last_5_diff,-0.13275048452023205,0.13275048452023205
reach_diff,0.11316406058617985,0.11316406058617985
prior_win_pct_diff,0.07628840076257835,0.07628840076257835
wins_last_3_diff,-0.06894617594440186,0.06894617594440186
prior_losses_diff,0.057232038751562624,0.057232038751562624
prior_fights_diff,0.042092740223216275,0.042092740223216275
weight_class_Lightweight,0.03930462158809418,0.03930462158809418
win_pct_last_5_diff,-0.038774352336825656,0.038774352336825656
days_since_last_fight_diff,0.03154753543044022,0.03154753543044022
prior_wins_diff,-0.012707071839216056,0.012707071839216056
