date,event,red_fighter,blue_fighter,winner,weight_class,method,round
2026-05-16,UFC Fight Night: Allen vs. Costa,Arnold Allen,Melquizael Costa,Arnold Allen,Featherweight,Decision - Unanimous,5
2026-05-16,UFC Fight Night: Allen vs. Costa,Dooho Choi,Daniel Santos,Dooho Choi,Featherweight,KO/TKO,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Malcolm Wellmaker,Juan Diaz,Juan Diaz,Bantamweight,Submission,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Modestas Bukauskas,Christian Edwards,Modestas Bukauskas,Catch Weight,Decision - Split,3
2026-05-16,UFC Fight Night: Allen vs. Costa,Timmy Cuamba,Benardo Sopaj,Benardo Sopaj,Bantamweight,Submission,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Nikolay Veretennikov,Khaos Williams,Khaos Williams,Welterweight,KO/TKO,1
2026-05-16,UFC Fight Night: Allen vs. Costa,Tuco Tokkos,Ivan Erslan,Ivan Erslan,Light Heavyweight,Decision - Unanimous,3
2026-05-16,UFC Fight Night: Allen vs. Costa,Tommy Gantt,Artur Minev,Tommy Gantt,Lightweight,KO/TKO,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Ketlen Vieira,Jacqueline Cavalcanti,Ketlen Vieira,Women's Bantamweight,Decision - Unanimous,3
2026-05-16,UFC Fight Night: Allen vs. Costa,Cody Brundage,Andre Petroski,Cody Brundage,Middleweight,KO/TKO,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Alice Ardelean,Polyana Viana,Alice Ardelean,Women's Strawweight,Submission,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Daniel Barez,Luis Gurule,Luis Gurule,Flyweight,Decision - Unanimous,3
2026-05-16,UFC Fight Night: Allen vs. Costa,Shauna Bannon,Nicolle Caliari,Nicolle Caliari,Women's Strawweight,Submission,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Khamzat Chimaev,Sean Strickland,Sean Strickland,Middleweight,Decision - Split,5
2026-05-09,UFC 328: Chimaev vs. Strickland,Joshua Van,Tatsuro Taira,Joshua Van,Flyweight,KO/TKO,5
2026-05-09,UFC 328: Chimaev vs. Strickland,Alexander Volkov,Waldo Cortes Acosta,Alexander Volkov,Heavyweight,Decision - Unanimous,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Sean Brady,Joaquin Buckley,Sean Brady,Welterweight,Decision - Unanimous,3
2026-05-09,UFC 328: Chimaev vs. Strickland,King Green,Jeremy Stephens,King Green,Lightweight,Submission,1
2026-05-09,UFC 328: Chimaev vs. Strickland,Ateba Gautier,Ozzy Diaz,Ateba Gautier,Middleweight,KO/TKO,2
2026-05-09,UFC 328: Chimaev vs. Strickland,Joel Alvarez,Yaroslav Amosov,Yaroslav Amosov,Welterweight,Submission,2
2026-05-09,UFC 328: Chimaev vs. Strickland,Grant Dawson,Mateusz Rebecki,Grant Dawson,Lightweight,Submission,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Jim Miller,Jared Gordon,Jim Miller,Lightweight,Submission,1
2026-05-09,UFC 328: Chimaev vs. Strickland,Roman Kopylov,Marco Tulio,Roman Kopylov,Middleweight,Decision - Unanimous,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Pat Sabatini,William Gomis,Pat Sabatini,Featherweight,Decision - Unanimous,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Baisangur Susurkaev,Djorden Santos,Baisangur Susurkaev,Middleweight,Submission,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Clayton Carpenter,Jose Ochoa,Jose Ochoa,Flyweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Jack Della Maddalena,Carlos Prates,Carlos Prates,Welterweight,KO/TKO,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Beneil Dariush,Quillan Salkilld,Quillan Salkilld,Lightweight,KO/TKO,1
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Tim Elliott,Steve Erceg,Steve Erceg,Flyweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Marwan Rahiki,Ollie Schmid,Marwan Rahiki,Featherweight,KO/TKO,1
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Shamil Gaziev,Brando Pericic,Brando Pericic,Heavyweight,KO/TKO,2
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Tai Tuivasa,Louie Sutherland,Louie Sutherland,Heavyweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Cam Rowston,Robert Bryczek,Cam Rowston,Middleweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Junior Tafa,Kevin Christian,Junior Tafa,Light Heavyweight,KO/TKO,1
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Jacob Malkoun,Gerald Meerschaert,Jacob Malkoun,Middleweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Colby Thicknesse,Vince Morales,Colby Thicknesse,Bantamweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Ben Johnston,Wes Schultz,Wes Schultz,Middleweight,Submission,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Jonathan Micallef,Themba Gorimbo,Jonathan Micallef,Welterweight,Decision - Split,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Dom Mar Fan,Kody Steele,Kody Steele,Lightweight,Submission,1
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Aljamain Sterling,Youssef Zalal,Aljamain Sterling,Featherweight,Decision - Unanimous,5
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Norma Dumont,Joselyne Edwards,Joselyne Edwards,Women's Bantamweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Rafa Garcia,Alexander Hernandez,Rafa Garcia,Lightweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Davey Grant,Adrian Luna Martinetti,Davey Grant,Bantamweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Montel Jackson,Raoni Barcelos,Raoni Barcelos,Bantamweight,Decision - Split,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Marcus Buchecha,Ryan Spann,Ryan Spann,Heavyweight,KO/TKO,2
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Rodolfo Vieira,Eric McConico,Eric McConico,Middleweight,Decision - Unanimous,3
